ticker,name,sector,category,ltp,closing_price,ycp,open_price,day_high,day_low,week52_high,week52_low,pe_ratio,eps,nav,dividend_yield,market_cap_mn,volume,trades,total_shares,paid_up_capital_mn,authorized_capital_mn,change_pct,beta,return_1d,return_15d,return_1m,return_6m,return_1y,listing_year,latest_dividend,status,updated_at,face_value,mean_1y,mean_3y,mean_5y,median_1y,median_3y,median_5y,percentile_5y,z_score_5y,price_vs_median_5y,actual_return_1y,actual_return_3y,actual_return_5y,volatility_annual,max_drawdown_5y
AAMRANET,aamra networks limited,IT Sector,Z,20.6,20.6,20.8,20.8,20.9,20.5,23.7,14.5,8.46,2.46,37.01,2.99,1915.3861872,216008,294,92979912,929.8,1000.0,-0.96,1.3,-1.9,0.0,29.56,30.0,11.83,2017,10% 2024,Active,2026-07-30T09:27:36.187564,10.0,18.26,30.21,38.03,17.7,24.35,37.14,21.7,-1.04,0.555,11.96,-68.01,-49.38,35.58,-82.33
AAMRATECH,aamra technologies limited,IT Sector,Z,20.0,20.0,19.8,19.8,20.1,19.1,20.2,9.5,0.0,-0.12,21.73,0.47,1294.14884,211381,241,64707442,647.07,1000.0,1.01,1.3,15.61,18.34,57.48,75.22,53.49,2012,1% 2024,Active,2026-07-30T09:27:36.187564,10.0,13.08,19.27,25.17,12.6,17.0,26.7,36.0,-0.53,0.749,55.04,-40.12,-24.29,45.1,-81.56
ABB1STMF,AB Bank 1st Mutual fund,Mutual Funds,A,4.0,4.0,3.8,3.8,4.1,3.8,4.4,2.2,0.0,-2.0,8.07,0.0,956.361584,5109628,449,239090396,2390.9,0.0,5.26,1.44,8.11,21.21,25.0,52.0,2.7,2012,5% 2023,Active,2026-07-30T09:27:36.187564,10.0,3.09,3.79,4.49,3.1,3.5,4.9,38.8,-0.43,0.816,8.11,-23.08,-48.72,52.13,-69.23
ABBANK,AB Bank PLC.,Bank,Z,5.0,5.0,5.1,5.1,5.1,4.9,7.7,3.4,0.0,-43.42,-36.24,0.0,4478.473745,837737,280,895694749,8956.95,15000.0,-1.96,1.85,2.04,0.0,-5.66,18.6,-27.14,1983,2% 2021,Active,2026-07-30T09:27:36.187564,10.0,5.21,7.36,9.02,5.0,7.2,9.7,9.1,-1.4,0.515,-28.57,-48.45,-63.5,53.45,-78.44
ABBLPBOND,AB Bank Perpetual Bond,Corporate Bond,A,0.0,0.0,1060.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0,5710936,5710.94,0.0,0.0,0.0,-1.85,0.95,6.0,6.0,17.78,2023,-,,2026-07-30T09:27:36.187564,1000.0,946.85,963.34,963.34,965.5,988.5,988.5,97.0,1.42,1.072,17.78,5.47,5.47,44.43,-20.55
ACFL,Aman Cotton Fibrous PLC.,Textile,A,24.3,24.3,24.6,24.6,24.6,23.9,25.7,16.5,117.14,0.21,33.63,6.58,2450.2499919,156281,191,100833333,1008.33,2000.0,-1.22,0.67,2.1,1.25,32.79,43.02,32.26,2018,10% 2025,Active,2026-07-30T09:27:36.187564,10.0,19.32,19.59,23.76,18.5,18.5,23.7,52.4,0.08,1.025,27.23,-8.3,-50.2,27.28,-71.31
ACHIASF,Achia Sea Foods Limited,SME Sector,Y,31.6,31.4,31.2,31.0,31.6,31.0,54.0,29.8,0.0,1.1,16.92,2.37,1180.4601544000002,13634,35,37356334,373.56,1000.0,0.64,0.3,0.32,-13.74,-3.38,-39.3,-21.01,2022,10% 2025,Active,2026-07-30T09:27:36.187564,10.0,40.09,34.9,32.7,39.8,34.8,31.2,51.4,-0.13,1.013,-21.11,28.16,185.45,47.98,-66.28
ACI,Advanced Chemical Industries PLC,Pharmaceuticals and Chemicals,A,200.8,200.2,201.8,202.8,202.8,199.2,231.0,165.1,0.0,-7.4,91.64,1.33,17636.6340744,36692,450,87831843,878.32,3000.0,-0.79,0.89,-3.7,-0.84,3.3,-2.93,4.99,1976,25% 2025,Active,2026-07-30T09:27:36.187564,10.0,194.16,174.02,197.25,194.45,179.8,210.75,43.1,0.09,0.953,3.89,-11.52,-2.63,25.54,-64.05
ACIFORMULA,ACI Formulations PLC,Pharmaceuticals and Chemicals,A,172.1,172.1,168.6,167.3,174.3,166.0,189.2,115.0,21.48,7.85,75.51,1.97,8131.725,212294,1137,47250000,472.5,500.0,2.08,1.07,-0.69,11.46,22.14,26.58,26.1,2008,25% 2025,Active,2026-07-30T09:27:36.187564,10.0,140.99,136.47,146.49,139.75,135.5,152.05,95.7,1.52,1.132,27.67,11.03,10.66,30.12,-50.45
ACMELAB,The ACME Laboratories Limited,Pharmaceuticals and Chemicals,A,83.6,83.6,83.2,83.4,84.1,82.7,88.7,68.6,7.25,11.48,126.37,4.85,17689.90212,268996,659,211601700,2116.02,5000.0,0.48,0.93,-3.24,1.46,10.14,11.68,7.08,2016,35% 2025,Active,2026-07-30T09:27:36.187564,10.0,77.31,77.44,81.95,76.6,76.3,85.0,46.1,0.21,0.984,6.77,-1.76,9.28,18.08,-43.72
